"'Denali', formerly known as Mount McKinley, is the highest peak in North America.",B-Mountain O O O O O O O O O O O O
'Kilimanjaro''s snow-capped summit stands as a beacon over the African plains.,B-Mountain O O O O O O O O O O
The 'Matterhorn''s iconic pyramid shape is a symbol of the Swiss Alps.,O B-Mountain O O O O O O O O O O
"The Rockies boast numerous majestic peaks, including 'Mount Elbert', the highest in Colorado.",O O O O O O O B-Mountain I-Mountain O O O O
"'Mont Blanc', in the French Alps, is a challenging ascent for experienced mountaineers.",B-Mountain I-Mountain O O O O O O O O O O O
"Aoraki / 'Mount Cook' is the highest peak in New Zealand, surrounded by stunning glaciers.",O O B-Mountain I-Mountain O O O O O O O O O O O
"'K2', the second-highest mountain, is renowned for its difficult and perilous climbs.",B-Mountain O O O O O O O O O O O
The Appalachian Trail winds through the picturesque scenery of the Appalachian Mountains.,O O O O O O O O O O O O
"The Andes, the longest mountain range, traverse several South American countries.",O O O O O O O O O O O
'Mount Fuji''s symmetrical cone is an iconic symbol of Japan.,B-Mountain I-Mountain O O O O O O O O
The Dolomites in Italy are known for their dramatic limestone peaks and alpine beauty.,O O O O O O O O O O O O O O
"'Mauna Kea', though largely underwater, is the tallest mountain when measured from base to summit.",B-Mountain I-Mountain O O O O O O O O O O O O O
The Cascade Range is home to notable volcanoes like 'Mount Rainier' and 'Mount St. Helens'.,O O O O O O O O O B-Mountain I-Mountain O B-Mountain O I-Mountain
'El Capitan' in Yosemite National Park is a renowned granite monolith popular among rock climbers.,B-Mountain I-Mountain O O O O O O O O O O O O O
The Drakensberg Mountains in South Africa offer breathtaking vistas and diverse ecosystems.,O O O O O O O O O O O O
The Ural Mountains form a natural boundary between Europe and Asia.,O O O O O O O O O O O
"'Mount Etna', an active volcano in Sicily, constantly reshapes the surrounding landscape.",B-Mountain I-Mountain O O O O O O O O O O
"The Swiss Alps encompass numerous famous peaks, including 'the Eiger' and 'the Jungfrau'.",O O O O O O O O B-Mountain I-Mountain O B-Mountain I-Mountain
The Blue Ridge Mountains are known for their scenic beauty along the eastern United States.,O O O O O O O O O O O O O O O
"The Himalayas, with peaks like 'Nanda Devi', hold spiritual significance for many.",O O O O O B-Mountain I-Mountain O O O O O
"'Mount Olympus', in Greece, was believed by ancient Greeks to be the dwelling place of the gods.",B-Mountain I-Mountain O O O O O O O O O O O O O O O
"The Teton Range in Wyoming is characterized by rugged peaks, including 'the Grand Teton'.",O O O O O O O O O O O B-Mountain O I-Mountain
"'Mount McKinley', now officially 'Denali', is the centerpiece of Denali National Park in Alaska.",B-Mountain I-Mountain O O B-Mountain O O O O O O O O O
"The Carpathian Mountains traverse Central and Eastern Europe, offering diverse landscapes.",O O O O O O O O O O O
"'Pikes Peak', in Colorado, inspired the song ""America the Beautiful"" with its stunning views.",B-Mountain I-Mountain O O O O O O O O O O O O
The Julian Alps in Slovenia provide a picturesque backdrop to the tranquil Lake Bled.,O O O O O O O O O O O O O O
"The Apennines stretch the length of Italy, offering charming hillside villages and rugged terrain.",O O O O O O O O O O O O O O
'Mount Kilimanjaro''s glaciers are sadly receding due to the effects of climate change.,B-Mountain I-Mountain O O O O O O O O O O O
The Swiss 'Matterhorn' is a challenging ascent and has a unique pyramid shape.,O O B-Mountain O O O O O O O O O O
"'Mount Vesuvius', near Naples, famously erupted and buried the city of Pompeii in 79 AD.",B-Mountain I-Mountain O O O O O O O O O O O O O
"The Sierra Nevada Range includes peaks like 'Mount Whitney', the highest in the contiguous U.S.",O O O O O O O B-Mountain I-Mountain O O O O O O
'Mount Logan' in Canada's Yukon Territory is the second-highest peak in North America.,B-Mountain I-Mountain O O O O O O O O O O O
"The Tatra Mountains, shared by Poland and Slovakia, are known for their alpine character.",O O O O O O O O O O O O O O
The Hindu Kush Range is a rugged mountain system in Central Asia.,O O O O O O O O O O O O
"'Mount Hood', an iconic volcano in Oregon, is a popular destination for climbers and skiers.",B-Mountain I-Mountain O O O O O O O O O O O O O
The Brooks Range in Alaska is a remote and wild mountain range known for its vast tundra.,O O O O O O O O O O O O O O O O O
'Mount Washington' in New Hampshire holds the record for the highest wind speed ever recorded.,B-Mountain I-Mountain O O O O O O O O O O O O O
"The Rwenzori Mountains, also known as 'the Mountains of the Moon', straddle Uganda and Congo.",O O O O O O B-Mountain O O O I-Mountain O O O O
"'Mount Cook', or Aoraki, is the highest peak in the Southern Alps of New Zealand.",B-Mountain I-Mountain O O O O O O O O O O O O O
"The 'Smoky Mountains', part of the Appalachian Range, are known for their mist-covered peaks.",O B-Mountain I-Mountain O O O O O O O O O O O
'Mount Athos' in Greece is a sacred mountain with numerous monasteries dating back centuries.,B-Mountain I-Mountain O O O O O O O O O O O O
"The Zagros Mountains stretch across Iran, Iraq, and Turkey, influencing regional climates.",O O O O O O O O O O O O
'Mount Katahdin' in Maine marks the northern terminus of the Appalachian Trail.,B-Mountain I-Mountain O O O O O O O O O O
The Kunlun Mountains in China are a vast and rugged range with high-altitude plateaus.,O O O O O O O O O O O O O O
'Mount Ararat' in Turkey is traditionally associated with the biblical story of Noah's Ark.,B-Mountain I-Mountain O O O O O O O O O O O O
The Uinta Mountains in Utah are unique for their east-west orientation.,O O O O O O O O O O O
"'Mount Hermon', shared by Lebanon, Syria, and Israel, is the highest peak in the Levant.",B-Mountain I-Mountain O O O O O O O O O O O O O
The Columbia Mountains in Canada are known for their glacier-covered peaks and deep valleys.,O O O O O O O O O O O O O O
'Mount Shasta' in California is a dormant volcano with a distinctive conical shape.,B-Mountain I-Mountain O O O O O O O O O O O
"The 'Rocky Mountains' stretch across North America, featuring rugged peaks and alpine meadows.",O B-Mountain I-Mountain O O O O O O O O O O
'Mount Olympus' in Cyprus is a prominent peak with historical significance.,B-Mountain I-Mountain O O O O O O O O O
The 'Alps' in Europe boast famous summits like 'Mont Blanc' and 'the Matterhorn'.,O B-Mountain O O O O O O B-Mountain I-Mountain O B-Mountain I-Mountain
'Mount Kenya' in East Africa is a stratovolcano with a distinctive snow-capped peak.,B-Mountain I-Mountain O O O O O O O O O O O
The 'Adirondack Mountains' in New York offer a haven for outdoor enthusiasts.,O B-Mountain I-Mountain O O O O O O O O O
"'Mount St. Helens' in Washington erupted in 1980, reshaping the landscape.",B-Mountain O I-Mountain O O O O O O O O
The 'Catskill Mountains' in New York are known for their lush forests and hiking trails.,O B-Mountain I-Mountain O O O O O O O O O O O O
"'Mount Vesuvius' near Naples, Italy, is one of the most famous active volcanoes.",B-Mountain I-Mountain O O O O O O O O O O O
The 'Olympic Mountains' in Washington state are characterized by diverse ecosystems.,O B-Mountain I-Mountain O O O O O O O O
'Mount Robson' in the Canadian Rockies is renowned for its stunning glacier.,B-Mountain I-Mountain O O O O O O O O O O
The 'Great Smoky Mountains' along the Tennessee-North Carolina border are a UNESCO World Heritage Site.,O B-Mountain O I-Mountain O O O O O O O O O O O
'Mount Everest''s summit is the ultimate goal for many adventurous mountaineers.,B-Mountain I-Mountain O O O O O O O O O
The 'White Mountains' in New Hampshire are known for their Presidential Range.,O B-Mountain I-Mountain O O O O O O O O O
'Mount Eiger' in the Swiss Alps is a challenging climb with a notorious north face.,B-Mountain I-Mountain O O O O O O O O O O O O O
The 'Chugach Mountains' in Alaska are famous for their vast glaciers and wildlife.,O B-Mountain I-Mountain O O O O O O O O O O
'Mount Diablo' in California offers panoramic views of the San Francisco Bay Area.,B-Mountain I-Mountain O O O O O O O O O O O
The 'Uinta Mountains' in Utah are unique for their east-west orientation.,O B-Mountain I-Mountain O O O O O O O O
'Mount Apo' in the Philippines is the highest peak in the country.,B-Mountain I-Mountain O O O O O O O O O O
"The 'Jura Mountains' stretch across France, Switzerland, and Germany.",O B-Mountain I-Mountain O O O O O O
'Mount Hua' in China is known for its perilous plank walk and breathtaking views.,B-Mountain I-Mountain O O O O O O O O O O O O
The 'Black Hills' in South Dakota are home to the iconic Mount Rushmore.,O B-Mountain I-Mountain O O O O O O O O O O
'Mount Monadnock' in New Hampshire is one of the most climbed mountains in the world.,B-Mountain I-Mountain O O O O O O O O O O O O O
The 'Caucasus Mountains' form a natural boundary between Europe and Asia.,O B-Mountain I-Mountain O O O O O O O O
'Mount Aragats' in Armenia is the highest peak in the country.,B-Mountain I-Mountain O O O O O O O O O
The 'Pyrenees' on the border of France and Spain offer stunning landscapes and wildlife.,O B-Mountain O O O O O O O O O O O O
'Mount Kosciuszko' in Australia is the highest peak on the continent.,B-Mountain I-Mountain O O O O O O O O O
The 'Wallowa Mountains' in Oregon are known for their scenic beauty and alpine lakes.,O B-Mountain I-Mountain O O O O O O O O O O O
"'Mount Roraima' in South America inspired Sir Arthur Conan Doyle's ""The Lost World.""",B-Mountain I-Mountain O O O O O O O O O O O
The 'Harz Mountains' in Germany are rich in folklore and medieval history.,O B-Mountain I-Mountain O O O O O O O O O
'Mount Moran' in Wyoming's Grand Teton National Park is a striking peak.,B-Mountain I-Mountain O O O O O O O O O O
The 'Selkirk Mountains' in Canada are a haven for backcountry skiing and hiking.,O B-Mountain I-Mountain O O O O O O O O O O
'Mount Katahdin' in Maine marks the northern terminus of the Appalachian Trail.,B-Mountain I-Mountain O O O O O O O O O O
The 'Sawtooth Mountains' in Idaho are known for their jagged peaks and pristine lakes.,O B-Mountain I-Mountain O O O O O O O O O O O
'Mount Tyree' in Antarctica is one of the tallest mountains in the Ellsworth Range.,B-Mountain I-Mountain O O O O O O O O O O O O
The 'Wetterstein Mountains' in Germany and Austria offer stunning alpine scenery.,O B-Mountain I-Mountain O O O O O O O O
'Mount Bogong' in Australia's Victorian Alps is a popular destination for hikers.,B-Mountain I-Mountain O O O O O O O O O O
The 'Wind River Range' in Wyoming is a remote and rugged mountain range.,O B-Mountain O I-Mountain O O O O O O O O O
'Mount Olympus' in Washington's Olympic National Park is a popular hiking destination.,B-Mountain I-Mountain O O O O O O O O O O
The 'Sikhote-Alin Mountains' in Russia are known for their diverse wildlife.,O B-Mountain I-Mountain O O O O O O O O
'Mount Nebo' in Jordan is mentioned in religious texts and offers views of the Dead Sea.,B-Mountain I-Mountain O O O O O O O O O O O O O O
The 'Vosges Mountains' in France are known for their rolling hills and vineyards.,O B-Mountain I-Mountain O O O O O O O O O O
'Mount Dana' in California's Sierra Nevada is the second-highest peak in Yosemite.,B-Mountain I-Mountain O O O O O O O O O O
The 'Altai Mountains' in Central Asia are a UNESCO World Heritage Site.,O B-Mountain I-Mountain O O O O O O O O O
'Mount Hood' in Oregon is a popular year-round destination for outdoor enthusiasts.,B-Mountain I-Mountain O O O O O O O O O O
The 'Rila Mountains' in Bulgaria are home to the Seven Rila Lakes and ancient monasteries.,O B-Mountain I-Mountain O O O O O O O O O O O O
'Mount Aspiring' in New Zealand is part of the Southern Alps.,B-Mountain I-Mountain O O O O O O O O O
The 'Ural Mountains' in Russia separate Europe and Asia.,O B-Mountain I-Mountain O O O O O O
'Mount Batur' in Bali is an active volcano with a picturesque caldera.,B-Mountain I-Mountain O O O O O O O O O O
'Mount Washington' in New Hampshire is infamous for its unpredictable weather conditions.,B-Mountain I-Mountain O O O O O O O O O O
'Mount Elbrus' in Russia is the highest peak in Europe.,B-Mountain I-Mountain O O O O O O O O
"The 'Sawatch Range' in Colorado boasts numerous fourteeners, including Mount Massive.",O B-Mountain I-Mountain O O O O O O O O
